model,way,AUC,NLL
BiasedMF,,0.72749882,-0.58904996
BiasedMF,unif,0.56917251,-0.5099435
BiasedMF,combine,0.72948485,-0.58137619
PropensityMF,,0.7223015,-0.4484932
InitFeatureEmbedMF,user,0.72730715,-0.58666128
InitFeatureEmbedMF,item,0.72831981,-0.58690486
InitFeatureEmbedMF,both,0.72993666,-0.58042997
AlterFeatureEmbedMF,,0.73178685,-0.57316101
ConcatFeatureEmbedMF,,0.72993781,-0.580428
CausalSampleMF,,0.72909159,-0.58273289
UnionSampleMF,,0.73145718,-0.56845587
WRSampleMF,,0.7324319,-0.55002552
BatchSampleMF,,0.73286183,-0.55902886
BridgeLabelMF,,0.73102042,-0.57292864
RefineLabelMF,,0.73842929,-0.66024804
